天空的遗忘物（穿越） ,热血类,12710,2014-1-8
老子的目标是世界最强 ,热血类,135596,2014-1-8
HeadlessHeroes ,热血类,964881,2014-1-8
NPC的反击 ,热血类,472291,2014-1-8
纵横交错的平行世界 ,热血类,401094,2014-1-8
E·X枭姬战舞 ,热血类,219270,2014-1-8
灵战组 ,热血类,218975,2014-1-8
开启者的传说 ,热血类,473512,2014-1-7
魔禁同人—天朝之祸 ,热血类,6498,2014-1-7
废墟（刺客信条同人） ,热血类,18614,2014-1-7
剑之领主Sword of the Lord ,热血类,1232635,2014-1-7
远距离 ,热血类,33665,2014-1-7
2次元道路之战 ,热血类,4505,2014-1-7
 科嘉西走廊 ,热血类,357816,2014-1-7
晨曦之巅 ,热血类,39146,2014-1-6
三人行必有我妹 ,热血类,1257894,2014-1-6
七姬物语 ,热血类,703363,2014-1-6
少年六界行 ,热血类,2688130,2014-1-6
我脱下她们胖次的理由是为了拯救世界 ,热血类,207,2014-1-6
被怪物吞噬的未来 ,热血类,23593,2014-1-6
網球王子-飛舞的雪 ,热血类,110450,2014-1-6
AI百鬼夜翔 ,热血类,3571,2014-1-5
兰之结晶 ,热血类,105718,2014-1-5
魔女与魔导书 ,热血类,215526,2014-1-5
世界顶端所站立着的恶灵之首 ,热血类,604451,2014-1-5
二次元乱斗之复制游戏 ,热血类,69030,2014-1-5
向神祈祷 ,热血类,73500,2014-1-5
新世界的山贼传奇 ,热血类,343243,2014-1-5
暗刀少年与刀鞘少女 ,热血类,11294,2014-1-5
繁若晨星 ,热血类,76240,2014-1-4
大地色瞳孔 ,热血类,16649,2014-1-4
我的脑内恋碍选项 ,热血类,581323,2014-1-4
火之国、风之国物语 ,热血类,2345659,2014-1-4
阳炎DAYS ,热血类,326804,2014-1-4
幻想桃源乡 ,热血类,97701,2014-1-4
燃起来吧符文与ACG！ ,热血类,128538,2014-1-3
穿梭時空的神 ,热血类,149839,2014-1-3
魔法师的圣乐 ,热血类,9365,2014-1-3
五芒星之无双封魔传 ,热血类,164776,2014-1-3
不会魔法的贤者 ,热血类,4629,2014-1-3
女神的圣斗士 魔界篇  ,热血类,446081,2014-1-2
圣斗士星矢 魔界篇 ,热血类,70276,2014-1-2
Divine heart 圣心 ,热血类,287517,2014-1-2
不好意思不是主角呢 ,热血类,14433,2014-1-2
王牌引渡人 ,热血类,1099440,2014-1-2
超度师 ,热血类,137879,2014-1-1
万乘之君 ,热血类,22458,2014-1-1
这个是僵尸吗？  ,热血类,1187164,2014-1-1
Guilty Crown ,热血类,6214,2014-1-1
K SIDE ,热血类,358525,2014-1-1
火影之叶飞叶落 ,热血类,821996,2014-1-1
回归 ,热血类,14117,2013-12-31
假面骑士agguk（暂定） ,热血类,36429,2013-12-29
剑刻之银乙女 ,热血类,171843,2013-12-28
武战帝 ,热血类,344685,2013-12-27
Seven Sinner ,热血类,2024,2013-12-26
某不科学的华夏异闻录 ,热血类,10774,2013-12-26
青春不扯便会淡 ,热血类,10950,2013-12-25
